PYTHON EXE: D:\Uni shit\Thesis\Code_New\.venv\Scripts\python.exe
torch: 2.9.1+cu126
torch cuda build: 12.6
cuda available: True
=== Training hierarchical RL tutor ===
- Number of topics: 8
- Tutee enabled:   True
         1211811 function calls (1195335 primitive calls) in 2.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.469    0.469    0.486    0.486 __init__.py:162(_load_dll_libraries)
     5540    0.434    0.000    0.434    0.000 {built-in method nt.stat}
      911    0.289    0.000    0.289    0.000 {built-in method io.open_code}
     1952    0.191    0.000    0.191    0.000 {built-in method nt._getfinalpathname}
   2075/1    0.086    0.000    2.911    2.911 {built-in method builtins.exec}
      911    0.075    0.000    0.075    0.000 {built-in method marshal.loads}
    25/23    0.045    0.002    0.176    0.008 {built-in method _imp.create_dynamic}
      911    0.040    0.000    0.040    0.000 {method 'read' of '_io.BufferedReader' objects}
     1712    0.039    0.000    0.062    0.000 library.py:287(impl)
     6478    0.039    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
 1177/949    0.037    0.000    0.070    0.000 inspect.py:2375(_signature_from_callable)
     1972    0.036    0.000    0.039    0.000 _ops.py:773(__init__)
2395/2361    0.029    0.000    0.144    0.000 {built-in method builtins.__build_class__}
     1140    0.028    0.000    0.028    0.000 {built-in method torch._C._jit_get_operation}
     3159    0.026    0.000    0.026    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
166409/166339    0.025    0.000    0.027    0.000 {built-in method builtins.isinstance}
    18498    0.024    0.000    0.028    0.000 _ops.py:1138(<genexpr>)
     1163    0.023    0.000    0.111    0.000 dataclasses.py:412(_create_fn)
        3    0.019    0.006    0.019    0.006 {built-in method torch._C._cuda_getDeviceCount}
46543/46492    0.018    0.000    0.117    0.000 {built-in method builtins.getattr}
     1984    0.017    0.000    0.017    0.000 {built-in method torch._C._get_operation_overload}
        5    0.017    0.003    0.017    0.003 {built-in method _winapi.CreateProcess}
      146    0.015    0.000    0.015    0.000 {built-in method nt.listdir}
     4277    0.015    0.000    0.047    0.000 _ops.py:1137(_has_script_object_arg)
     2201    0.014    0.000    0.026    0.000 ntpath.py:489(normpath)
     4277    0.012    0.000    0.012    0.000 {built-in method torch._C._get_schema}
     1274    0.012    0.000    0.300    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     1754    0.011    0.000    0.013    0.000 _ops.py:131(inner)
      941    0.011    0.000    0.011    0.000 {method '__exit__' of '_io._IOBase' objects}
     1872    0.010    0.000    0.010    0.000 {built-in method torch._C._dispatch_has_kernel}
      911    0.010    0.000    0.527    0.001 <frozen importlib._bootstrap_external>:950(get_code)
    44829    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      289    0.010    0.000    0.176    0.001 dataclasses.py:881(_process_class)
     4437    0.009    0.000    0.010    0.000 <frozen importlib._bootstrap>:100(acquire)
8699/6337    0.009    0.000    0.060    0.000 {built-in method builtins.any}
      968    0.009    0.000    0.350    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      165    0.009    0.000    7.951    0.048 __init__.py:1(<module>)
     2529    0.008    0.000    0.014    0.000 functools.py:35(update_wrapper)
      421    0.008    0.000    0.010    0.000 utils.py:112(is_tensorlist_like_type)
     2059    0.008    0.000    0.094    0.000 _ops.py:1190(__getattr__)
      695    0.008    0.000    0.024    0.000 inspect.py:2280(_signature_from_function)
        1    0.008    0.008    0.089    0.089 _meta_registrations.py:7899(activate_meta)
    10117    0.008    0.000    0.015    0.000 typing.py:986(__setattr__)
72842/72021    0.008    0.000    0.008    0.000 {built-in method builtins.len}
     6023    0.007    0.000    0.020    0.000 typing.py:1194(__getitem__)
    989/8    0.007    0.000    2.889    0.361 <frozen importlib._bootstrap>:1022(_find_and_load)
     1239    0.007    0.000    0.021    0.000 typing_extensions.py:3178(_collect_type_vars)
     1439    0.007    0.000    0.010    0.000 inspect.py:2920(__init__)
     4437    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    36710    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
     1822    0.007    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
    15614    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
   489/92    0.006    0.000    0.016    0.000 sre_parse.py:494(_parse)
      457    0.006    0.000    0.067    0.000 wrappers.py:255(_out_wrapper)
     3345    0.006    0.000    0.008    0.000 ntpath.py:150(splitdrive)
     2470    0.006    0.000    0.012    0.000 typing.py:146(_type_check)
     4437    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:125(release)
10053/9616    0.006    0.000    0.081    0.000 typing.py:306(inner)
        1    0.006    0.006    0.079    0.079 {built-in method torch._C._initExtension}
       10    0.006    0.001    0.006    0.001 {method 'read' of '_io.TextIOWrapper' objects}
     1364    0.006    0.000    0.114    0.000 inspect.py:813(getsourcefile)
      974    0.006    0.000    0.217    0.000 ntpath.py:667(realpath)
     4226    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x00007FFB06ABC920}
    19423    0.006    0.000    0.006    0.000 {built-in method builtins.setattr}
     1179    0.005    0.000    0.043    0.000 typing.py:1016(__init__)
       17    0.005    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
12219/12214    0.005    0.000    0.007    0.000 {built-in method builtins.hasattr}
    37222    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
  356/354    0.005    0.000    0.335    0.001 inspect.py:850(getmodule)
      923    0.005    0.000    0.072    0.000 __init__.py:64(_add_op_to_registry)
     3023    0.005    0.000    0.009    0.000 inspect.py:2637(__init__)
     2014    0.005    0.000    0.015    0.000 tokenize.py:431(_tokenize)
     6478    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
      129    0.005    0.000    0.007    0.000 library.py:137(define)
     1140    0.005    0.000    0.077    0.000 _ops.py:1350(__getattr__)
       69    0.004    0.000    0.011    0.000 enum.py:180(__new__)
       23    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.lock' objects}
       90    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
   957/10    0.004    0.000    2.882    0.288 <frozen importlib._bootstrap>:664(_load_unlocked)
        1    0.004    0.004    0.004    0.004 {built-in method torch._C._c10d_init}
    10127    0.004    0.000    0.007    0.000 typing.py:935(_is_dunder)
      957    0.004    0.000    0.033    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     3448    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      911    0.004    0.000    0.344    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      126    0.004    0.000    0.561    0.004 __init__.py:267(_make_prim)
    989/8    0.004    0.000    2.889    0.361 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      113    0.004    0.000    0.072    0.001 autograd.py:23(make_autograd_impl)
       90    0.004    0.000    0.009    0.000 __init__.py:328(namedtuple)
     7138    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     1965    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
      745    0.004    0.000    0.008    0.000 dataclasses.py:722(_get_field)
      936    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      949    0.004    0.000    0.332    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     3088    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
   760/84    0.003    0.000    0.008    0.000 sre_compile.py:87(_compile)
      736    0.003    0.000    0.042    0.000 typing.py:483(Union)
