episode,reward,steps,mastery
1,0.6715505092928651,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
2,0.6938785470450965,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
3,0.7353522348268597,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
4,0.7585326664768217,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
5,0.7508474038317217,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
6,0.7954095133038208,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
7,0.5479270559158067,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
8,0.7866962034460812,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
9,0.5810013241716661,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
10,0.783087250078097,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
11,0.4307268580363597,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
12,0.8160279193409223,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
13,0.3077986035757931,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
14,0.67375094879244,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
15,0.5533414915837056,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
16,0.6966413241840201,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
17,0.6898876304214354,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
18,0.6887715306342216,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
19,0.7104593724594451,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
20,0.7379670060676289,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
21,0.8629383012932521,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
22,0.8824724878877532,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
23,0.8256179547150169,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
24,0.685762680490734,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
25,0.5841793596482604,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
26,0.6772019283598639,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
27,0.77704165716209,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
28,0.5752298312701896,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
29,0.6725045840855274,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
30,0.7310488044866362,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
31,0.7732135141413892,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
32,0.5609261978926952,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
33,0.6392071241716623,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
34,0.8666293726495498,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
35,0.9183300527256506,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
36,0.8622707624424949,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
37,0.5411050812399484,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
38,0.20396013227727977,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
39,0.7561795566900401,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
40,0.613255420024507,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
41,0.7554611031286187,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
42,0.1525932272401404,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
43,0.9539478115053499,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
44,0.8414155151206615,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
45,0.8717241074613413,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
46,0.8354193355262398,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
47,0.7861573301034924,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
48,0.8866614476035468,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
49,0.911421505056933,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
50,0.8895228277746355,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
51,0.8331643515528414,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
52,0.6055722608944052,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
53,0.8716785767610419,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
54,0.8225996109467816,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
55,0.2982282599274187,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
56,0.8896364839778472,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
57,0.7849639048639802,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
58,0.9524281778765726,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
59,0.8312671445630258,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
60,0.8625409269545344,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
61,0.7783261862699873,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
62,0.7351332577604808,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
63,0.9757443777270964,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
64,0.8635736880694822,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
65,0.5688956196871005,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
66,0.7489831285602122,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
67,0.8608950858848743,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
68,0.9761529202965905,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
69,0.7129363468025987,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
70,0.7903153791485239,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
71,0.9189212506571495,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
72,0.841780806195311,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
73,0.8556404218819808,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
74,0.9031277625836085,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
75,0.8809025354012193,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
76,0.39227527286511765,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
77,0.802593998402881,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
78,0.781963457519305,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
79,0.866937125567165,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
80,0.8358495559194126,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
81,0.8228623009330477,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
82,0.8439721857968834,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
83,0.840578617087158,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
84,0.9209014545238462,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
85,0.8737196893648161,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
86,0.9427402284236451,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
87,0.9133101619998343,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
88,0.8948812804001137,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
89,0.9078407471140963,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
90,0.8487838547793217,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
91,0.860876804617874,300,[0.95 0.95 0.95 0.95 0.95 0.95 0.95]
