arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,off,0,1,-8.119231998524326,300.0,0.35390210151672363,0.18036727607250214,0,0.0,-0.956278656138254,7,0,off,0,0,0.0,0.0,0.0,-6.500706333156779,0.07,0.21000000000000002,-0.3686660785873611,-0.06676498221821364,0.15374999355489968,-0.1915631925603256,0.0,-0.956278656138254,-0.956278656138254
hrl,multi,0,off,0,2,-8.404932765110532,300.0,0.3751182556152344,0.15321390330791473,0,0.0,-1.0603157502163576,7,0,off,0,0,0.0,0.0,0.0,-5.120720029392114,0.28,0.21000000000000002,-2.650662800031052,-0.06838248493697516,0.42961331946786996,-0.5020582566222322,0.0,-1.0603157502163576,-1.0603157502163576
hrl,multi,0,off,0,3,-8.1193158805345,300.0,0.379435271024704,0.16989104449748993,0,0.0,-0.8952442634744276,7,0,off,0,0,0.0,0.0,0.0,-6.230706333047336,0.21000000000000002,0.3358029941098621,-0.14933306450209322,-0.3987266045496028,0.27674810796460336,-0.3104949442964261,0.0,-0.8952442634744276,-0.8952442634744276
hrl,multi,0,off,0,4,-7.891226999894549,300.0,0.48842692375183105,0.13660402595996857,0,0.0,-0.7674467688246075,7,0,off,0,0,0.0,0.0,0.0,-2.2408588209317264,0.35000000000000003,-0.9381090053369634,-2.6475517934748307,-0.26357902404319666,0.41953449929546704,-0.05156323728100305,0.0,-0.7674467688246075,-0.7674467688246075
hrl,multi,0,off,0,5,-7.680218357590426,300.0,0.4799213111400604,0.14800098538398743,0,0.0,-0.7027036286513727,7,0,off,0,0,0.0,0.0,0.0,0.9561288512108524,0.21000000000000002,-3.875313689821482,-0.30177714475362705,-0.2735300498535269,0.04991409452167178,-1.6843474618634977,0.0,-0.7027036286513727,-0.7027036286513727
hrl,multi,0,off,0,6,-8.705269953922842,300.0,0.3364488184452057,0.06142286956310272,0,0.0,-1.4274952087777832,7,0,off,0,0,0.0,0.0,0.0,0.4521318458154179,0.07,0.3335817019316817,-0.07622206538444512,-3.461136699601277,0.16517473123964072,-7.4759959754455005,0.0,-1.4274952087777832,-1.4274952087777832
hrl,multi,0,off,0,7,-7.602720006706676,300.0,0.4603683054447174,0.16625849902629852,0,0.0,-1.0066934698997587,7,0,off,0,0,0.0,0.0,0.0,0.9561288512108524,0.9514068204592127,0.14,-0.22555505864786374,-8.171944690373449,-0.19220055561790755,-0.5046896563291556,0.0,-1.0066934698997587,-1.0066934698997587
hrl,multi,0,off,0,8,-8.257710634644551,300.0,0.4574298858642578,0.04776735603809357,0,0.0,-0.9867692956270278,7,0,off,0,0,0.0,0.0,0.0,-2.7458609230842614,0.503829575872831,0.3358029941098621,-5.0694788187264805,-0.13191257754151156,0.45565228210599745,-0.2554176021256326,0.0,-0.9867692956270278,-0.9867692956270278
hrl,multi,0,off,0,9,-7.898747439467144,300.0,0.4750503897666931,0.09371620416641235,0,0.0,-0.9855182306141395,7,0,off,0,0,0.0,0.0,0.0,0.4202670520524567,0.5785418646627846,-0.4909677169383221,-2.4982189382250914,-0.4786775560830087,0.14511012367740092,-4.574682443445196,0.0,-0.9855182306141395,-0.9855182306141395
hrl,multi,0,off,0,10,-7.744482172635635,300.0,0.47737523913383484,0.1288616806268692,0,0.0,-0.7417975900307316,7,0,off,0,0,0.0,0.0,0.0,0.36549300789252537,-0.1928682515623564,-3.189457360124458,-0.07622206538444512,-0.9525028898407543,0.34049582143409474,-1.4875213926297277,0.0,-0.7417975900307316,-0.7417975900307316
