arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,weighted_cka,0,1,0.08878477253965578,300.0,0.13170519471168518,0.06382421404123306,0,0.0,0.017756954507931178,5,0,off,0,0,0.0,0.0,0.0,-0.30975810457285874,-0.10965474568679931,0.11208983848989007,0.1813475858047604,0.21476019850466344,0.0,0.017756954507931178,0.017756954507931178
hrl,multi,0,weighted_cka,0,2,0.08281002148105365,300.0,0.18941673636436462,0.07160528749227524,0,0.0,0.01656200429621077,5,0,off,0,0,0.0,0.0,0.0,-0.15348159929947014,0.014579254021329653,-0.07477155863866211,-0.023755928384140153,0.3202398537819966,0.0,0.01656200429621077,0.01656200429621077
hrl,multi,0,weighted_cka,0,3,0.5920485095457014,300.0,0.2295682430267334,0.06590450555086136,0,0.0,0.11840970190914032,5,0,off,0,0,0.0,0.0,0.0,-0.20790447686356506,0.02309414106607433,0.030854362186044444,-0.24125443899817783,0.9872589221553257,0.0,0.11840970190914032,0.11840970190914032
hrl,multi,0,weighted_cka,0,4,0.22564179389455497,300.0,0.2460157871246338,0.05548631772398949,0,0.0,0.04512835877891104,5,0,off,0,0,0.0,0.0,0.0,-0.06673848624754125,-0.18028103047795602,-3.522586077449319e-06,-0.28127193571030545,0.7539367689164354,0.0,0.04512835877891104,0.04512835877891104
hrl,multi,0,weighted_cka,0,5,0.6152178579388408,300.0,0.27150559425354004,0.04933997243642807,0,0.0,0.1230435715877682,5,0,off,0,0,0.0,0.0,0.0,0.03531726150051691,-0.16094930495845625,0.11258888381347054,-0.4784680399014619,1.1067290574847717,0.0,0.1230435715877682,0.1230435715877682
hrl,multi,0,weighted_cka,0,6,1.0094917527108906,300.0,0.35677701234817505,0.050948165357112885,0,0.0,0.20189835054217817,5,0,off,0,0,0.0,0.0,0.0,0.03703953003836791,-0.19869601075723772,-0.0017615779675543494,0.04215318454103495,1.13075662685628,0.0,0.20189835054217817,0.20189835054217817
hrl,multi,0,weighted_cka,0,7,0.22819380115772425,300.0,0.2515450417995453,0.06804575026035309,0,0.0,0.045638760231544874,5,0,off,0,0,0.0,0.0,0.0,0.007706251482096298,-0.05791529680322857,0.016735310826450543,0.07440091257262971,0.18726662307977637,0.0,0.045638760231544874,0.045638760231544874
hrl,multi,0,weighted_cka,0,8,0.29217462605156364,300.0,0.2664811909198761,0.06792677193880081,0,0.0,0.05843492521031278,5,0,off,0,0,0.0,0.0,0.0,-0.0785567094375147,-0.048970013990998276,-0.23879002673272065,0.18795044084917745,0.47054093536362007,0.0,0.05843492521031278,0.05843492521031278
hrl,multi,0,weighted_cka,0,9,0.5555333936237719,300.0,0.257858008146286,0.06738627701997757,0,0.0,0.11110667872475441,5,0,off,0,0,0.0,0.0,0.0,0.01983586886257396,0.2212587549835443,-0.04087712531723084,0.3586418226127279,-0.0033259275178431705,0.0,0.11110667872475441,0.11110667872475441
hrl,multi,0,weighted_cka,0,10,0.1956519257044409,300.0,0.22569671273231506,0.08124162256717682,0,0.0,0.03913038514088822,5,0,off,0,0,0.0,0.0,0.0,-0.024511291175615072,-0.06006604539602997,0.05264593421947206,-0.37155612567486285,0.5991394537314769,0.0,0.03913038514088822,0.03913038514088822
hrl,multi,0,weighted_cka,0,11,1.0645928032623477,300.0,0.37225890159606934,0.05793994665145874,0,0.0,0.21291856065246959,5,0,off,0,0,0.0,0.0,0.0,0.07039516842563165,-0.188709867682308,0.5159269286124034,-0.3255181741397831,0.9924987480464039,0.0,0.21291856065246959,0.21291856065246959
hrl,multi,0,weighted_cka,0,12,0.3127801878770686,300.0,0.30688104033470154,0.10307636111974716,0,0.0,0.06255603757541375,5,0,off,0,0,0.0,0.0,0.0,-0.5600819722286546,0.05116784081235526,0.5312580127399413,-0.14504346620664016,0.435479772760067,0.0,0.06255603757541375,0.06255603757541375
hrl,multi,0,weighted_cka,0,13,0.7939658039159201,300.0,0.3488802909851074,0.10250081866979599,0,0.0,0.1587931607831841,5,0,off,0,0,0.0,0.0,0.0,-0.04359206625167282,0.060033747786655975,-0.2678568955354325,-0.18432230323972196,1.2297033211560917,0.0,0.1587931607831841,0.1587931607831841
hrl,multi,0,weighted_cka,0,14,0.9684806008501243,300.0,0.4914512634277344,0.20191378891468048,0,0.0,0.1936961201700249,5,0,off,0,0,0.0,0.0,0.0,-0.15308970056034038,-0.14484293583121347,0.5185687382292233,0.0362119880439713,0.7116325109684838,0.0,0.1936961201700249,0.1936961201700249
hrl,multi,0,weighted_cka,0,15,1.7506587433272203,300.0,0.5106850862503052,0.1589505821466446,0,0.0,0.35013174866544416,5,0,off,0,0,0.0,0.0,0.0,0.19553884536831134,0.27442063626606233,0.46810891045245795,0.11314144717156882,0.6994489040688202,0.0,0.35013174866544416,0.35013174866544416
hrl,multi,0,weighted_cka,0,16,0.8290487472233496,300.0,0.499742329120636,0.1387391835451126,0,0.0,0.16580974944466997,5,0,off,0,0,0.0,0.0,0.0,0.007840147474991677,0.015208182414796951,0.41336240404425173,-0.46337280409922854,0.8560108173885381,0.0,0.16580974944466997,0.16580974944466997
hrl,multi,0,weighted_cka,0,17,1.7298778488129742,300.0,0.5026872754096985,0.18370851874351501,0,0.0,0.3459755697625949,5,0,off,0,0,0.0,0.0,0.0,-0.3054121807939375,0.3212438646326771,0.43721325519990917,0.16521378641575568,1.1116191233585702,0.0,0.3459755697625949,0.3459755697625949
hrl,multi,0,weighted_cka,0,18,0.4174385282774882,300.0,0.36817216873168945,0.16847792267799377,0,0.0,0.08348770565549765,5,0,off,0,0,0.0,0.0,0.0,-0.11337974633311403,0.1784931782968342,-0.3581467148820234,-0.01308691104501489,0.7235587222408064,0.0,0.08348770565549765,0.08348770565549765
hrl,multi,0,weighted_cka,0,19,0.2949251230013932,300.0,0.3768773674964905,0.10603760927915573,0,0.0,0.05898502460027868,5,0,off,0,0,0.0,0.0,0.0,-0.10981158061454716,0.026632125416071965,-0.2794470507670196,-0.12439908776571987,0.7819507167326081,0.0,0.05898502460027868,0.05898502460027868
hrl,multi,0,weighted_cka,0,20,1.2688392465875937,300.0,0.4601683020591736,0.13540861010551453,0,0.0,0.2537678493175189,5,0,off,0,0,0.0,0.0,0.0,-0.04711080745840447,0.28981139524374133,0.01671063234657048,0.17739167563640493,0.8320363508192821,0.0,0.2537678493175189,0.2537678493175189
hrl,multi,0,weighted_cka,0,21,0.8709613712500857,300.0,0.39746522903442383,0.15057742595672607,0,0.0,0.1741922742500172,5,0,off,0,0,0.0,0.0,0.0,-0.15107833577709986,0.5193027088814414,-0.18651522708172003,-0.12614136400510334,0.8153935892325679,0.0,0.1741922742500172,0.1741922742500172
hrl,multi,0,weighted_cka,0,22,1.280294127872911,300.0,0.5058779716491699,0.10940232872962952,0,0.0,0.25605882557458226,5,0,off,0,0,0.0,0.0,0.0,-0.12985448675256345,0.5728081867843865,-0.3263594664999404,0.04821272823365863,1.11548716610737,0.0,0.25605882557458226,0.25605882557458226
hrl,multi,0,weighted_cka,0,23,1.3976410728947473,300.0,0.5232990384101868,0.3294677436351776,0,0.0,0.27952821457894955,5,0,off,0,0,0.0,0.0,0.0,0.018677777425153072,0.37787436035322014,-0.268480659690744,0.13322437570847967,1.1363452190986387,0.0,0.27952821457894955,0.27952821457894955
hrl,multi,0,weighted_cka,0,24,1.7965113904774612,300.0,0.560966432094574,0.22173075377941132,0,0.0,0.3593022780954923,5,0,off,0,0,0.0,0.0,0.0,0.7509145940365269,0.34654427945060884,-0.07455931897577872,0.054966306399539366,0.7186455295665654,0.0,0.3593022780954923,0.3593022780954923
hrl,multi,0,weighted_cka,0,25,1.8163769187999592,300.0,0.5640511512756348,0.24710242450237274,0,0.0,0.3632753837599919,5,0,off,0,0,0.0,0.0,0.0,-0.19396321941766673,0.37132672110572446,0.10673022986017155,0.2609022701710526,1.2713809170806778,0.0,0.3632753837599919,0.3632753837599919
hrl,multi,0,weighted_cka,0,26,1.359967687190509,300.0,0.49644550681114197,0.2500655949115753,0,0.0,0.27199353743810184,5,0,off,0,0,0.0,0.0,0.0,-0.3894229985638526,0.44610726522468014,0.07697455180063839,0.02655514868767917,1.1997537200413642,0.0,0.27199353743810184,0.27199353743810184
hrl,multi,0,weighted_cka,0,27,1.8143054738611668,300.0,0.5328471064567566,0.25415417551994324,0,0.0,0.36286109477223344,5,0,off,0,0,0.0,0.0,0.0,-0.20831549190293322,0.2708508997883181,0.41595996136683955,0.2068503021858632,1.1289598024230796,0.0,0.36286109477223344,0.36286109477223344
