arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,ll_reward_5,ll_reward_6,tutee_reward_total
flat,single,0,off,0,1,-4.705809199807106,300,0.677666962146759,0.20000000298023224,0,-4.705809199807106,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,2,-4.524447192934156,300,0.691457211971283,0.2896389961242676,0,-4.524447192934156,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,3,-3.5216325556480914,300,0.9459529519081116,0.9244241714477539,0,-3.5216325556480914,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,4,-3.7691967099046244,300,0.9094599485397339,0.6741203665733337,0,-3.7691967099046244,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,5,-4.2266527917599275,300,0.7792197465896606,0.2253636121749878,0,-4.2266527917599275,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,6,-3.5287627019788066,300,0.9507760405540466,0.9280743598937988,0,-3.5287627019788066,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,7,-3.977165943734492,300,0.857925534248352,0.2563490569591522,0,-3.977165943734492,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,8,-3.9507535702585135,300,0.858615517616272,0.37379375100135803,0,-3.9507535702585135,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,9,-4.296076925189105,300,0.753419816493988,0.23199999332427979,0,-4.296076925189105,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,10,-4.007301077454742,300,0.8582578301429749,0.32495400309562683,0,-4.007301077454742,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,11,0.9203703998323168,85,0.951417088508606,0.949999988079071,1,0.9203703998323168,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,single,0,off,0,12,-4.0935204649445796,300,0.8323144316673279,0.29356497526168823,0,-4.0935204649445796,1,0,off,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
