arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,weighted_cka,1,1,1.4246222610187025,300.2499999999999,0.5069383978843689,0.017800573259592056,0,0.0,0.23743704350311692,5,0,off,0,0,0.0,0.0,0.0,-0.6679512636109125,0.10708884286507958,0.10086727446317667,1.2320616930889998,0.03112399563472713,0.6214317185776308,0.23743704350311692,0.2849244522037403
hrl,multi,0,weighted_cka,1,2,0.7056485995356372,300.15,0.3309963345527649,0.050649166107177734,0,0.0,0.1176080999226062,5,0,off,0,0,0.0,0.0,0.0,-0.7257463638765355,0.05041858684457835,0.08273759746551512,1.1649547557411712,0.1296815962940454,0.0036024270668625832,0.1176080999226062,0.14112971990712744
hrl,multi,0,weighted_cka,1,3,0.9589825058167607,300.65,0.4341084063053131,0.005263292696326971,0,0.0,0.1598304176361267,5,0,off,0,0,0.0,0.0,0.0,-0.9550485614853174,0.17103189775347705,0.07436105976626273,1.23587664798554,0.06518573534023009,0.36757572645656766,0.1598304176361267,0.19179650116335206
hrl,multi,0,weighted_cka,1,4,1.8894061527890842,300.80000000000007,0.5869717001914978,0.40501508116722107,0,0.0,0.3149010254648474,5,0,off,0,0,0.0,0.0,0.0,0.10093700345687057,0.38778794302325686,0.02705080733168865,1.2115477610686791,0.19236902504228048,-0.030286387133691462,0.3149010254648474,0.37788123055781686
hrl,multi,0,weighted_cka,1,5,2.981008172211248,249.04999999999998,0.7040054202079773,0.7023128271102905,1,0.0,0.49683469536854136,5,0,off,0,0,0.0,0.0,0.0,0.382666677587258,0.35785743075283233,0.4619483771314844,1.2212095283430533,0.5878136488888411,-0.03048749049222098,0.49683469536854136,0.5962016344422496
hrl,multi,0,weighted_cka,1,6,2.9889647666972587,246.0,0.7068736553192139,0.7004167437553406,1,0.0,0.49816079444954314,5,0,off,0,0,0.0,0.0,0.0,0.0029529005183137925,0.4539149664742871,0.43739379619399543,1.1713083055224267,0.5463893772140144,0.3770054207742214,0.49816079444954314,0.5977929533394517
hrl,multi,0,weighted_cka,1,7,3.1108542239399037,220.1,0.7054897546768188,0.7020652890205383,1,0.0,0.518475703989984,5,0,off,0,0,0.0,0.0,0.0,0.5749537422125576,0.6033050904851406,0.41325458191614584,0.8142577062658964,-0.03181789116095762,0.7369009942211212,0.518475703989984,0.6221708447879808
hrl,multi,0,weighted_cka,1,8,3.000729464312363,240.95,0.7029350996017456,0.7001809477806091,1,0.0,0.5001215773853936,5,0,off,0,0,0.0,0.0,0.0,0.4719076766071374,0.37739525966718784,0.1521737036230042,1.2389050760576499,0.49325445031444526,0.2670932980429381,0.5001215773853936,0.6001458928624724
hrl,multi,0,weighted_cka,1,9,3.0065421780635786,245.79999999999998,0.7053627371788025,0.7006793022155762,1,0.0,0.5010903630105964,5,0,off,0,0,0.0,0.0,0.0,0.5201013397609074,-0.01628707945579672,0.4218731471430509,1.235063730087131,0.4943834033575839,0.3514076371707022,0.5010903630105964,0.6013084356127157
hrl,multi,0,weighted_cka,1,10,1.7768150814715367,300.2,0.5524812340736389,0.1635366678237915,0,0.0,0.2961358469119228,5,0,off,0,0,0.0,0.0,0.0,-0.31129724563093525,0.4787302771215326,0.4668573699682891,1.1873299727607516,-0.017727902543731057,-0.027077390204370024,0.2961358469119228,0.3553630162943074
hrl,multi,0,weighted_cka,1,11,2.275853688216421,300.95000000000005,0.6260834336280823,0.2998645603656769,0,0.0,0.3793089480360701,5,0,off,0,0,0.0,0.0,0.0,-0.13687844160794377,0.4637563374834134,0.4719726157486438,1.1878543855585155,0.338919978802296,-0.04977118776850402,0.3793089480360701,0.4551707376432842
hrl,multi,0,weighted_cka,1,12,3.0994270305645064,222.45000000000002,0.7092846035957336,0.7002399563789368,1,0.0,0.5165711717607511,5,0,off,0,0,0.0,0.0,0.0,0.2551278809250215,0.06994165396806773,0.5845190357733517,1.2744154580929314,0.6158498615352436,0.2995731402698904,0.5165711717607511,0.6198854061129013
hrl,multi,0,weighted_cka,1,13,1.4169720232835958,300.0,0.5090088844299316,0.25340306758880615,0,0.0,0.23616200388059935,5,0,off,0,0,0.0,0.0,0.0,0.19732774828793476,0.46757402496784917,0.45033065971033637,-0.3301389743182814,0.7035569899980909,-0.07167842536233367,0.23616200388059935,0.2833944046567192
hrl,multi,0,weighted_cka,1,14,1.152495312717981,300.4,0.4583492875099182,0.26984933018684387,0,0.0,0.19208255211966344,5,0,off,0,0,0.0,0.0,0.0,0.11086888464228828,0.4885716220568864,0.1035903983842581,0.3000296918582164,0.18508124182466412,-0.035646526048332454,0.19208255211966344,0.23049906254359614
hrl,multi,0,weighted_cka,1,15,2.8560382021142647,278.9,0.7060049772262573,0.7009471654891968,1,0.0,0.47600636701904375,5,0,off,0,0,0.0,0.0,0.0,0.07171723779919549,0.0334199227527714,0.3607612504926509,0.32333271800540375,1.108938964148983,0.957868108915258,0.47600636701904375,0.5712076404228525
hrl,multi,0,weighted_cka,1,16,2.934984995405007,265.95,0.7133017182350159,0.7059248089790344,1,0.0,0.48916416590083384,5,0,off,0,0,0.0,0.0,0.0,0.11785922882473088,-0.00783794651832444,0.5720306019061244,0.9458430571258067,0.11332624052185558,1.1937638135448099,0.48916416590083384,0.5869969990810006
hrl,multi,0,weighted_cka,1,17,2.3955990849254416,300.29999999999995,0.6953651905059814,0.6469026207923889,0,0.0,0.39926651415424025,5,0,off,0,0,0.0,0.0,0.0,0.23698792288335957,0.24368035160843268,0.5849519759984686,0.8511194537109694,-0.2425488894338489,0.72140827015806,0.39926651415424025,0.4791198169850883
hrl,multi,0,weighted_cka,1,18,1.739447982344549,300.14999999999986,0.5741347074508667,0.19598162174224854,0,0.0,0.28990799705742476,5,0,off,0,0,0.0,0.0,0.0,0.3150042460635303,-0.096597578036599,0.3894458045076169,0.9149996423069386,-0.06725504506565633,0.2838509125687182,0.28990799705742476,0.3478895964689097
hrl,multi,0,weighted_cka,1,19,1.6837591412230617,300.1,0.5020734071731567,0.15684008598327637,0,0.0,0.280626523537177,5,0,off,0,0,0.0,0.0,0.0,0.18308090725145298,-0.22334323026426162,0.23422042239445703,0.753840069638565,0.008359441950917208,0.7276015302519314,0.280626523537177,0.33675182824461236
hrl,multi,0,weighted_cka,1,20,2.0549601901509384,300.59999999999997,0.5894469022750854,0.12471238523721695,0,0.0,0.3424933650251564,5,0,off,0,0,0.0,0.0,0.0,-0.04514929145696815,0.3776852383029181,-0.32096284740371667,1.261092123200389,0.011389568284153835,0.7709053992241621,0.3424933650251564,0.4109920380301877
hrl,multi,0,weighted_cka,1,21,1.760657671344036,300.65,0.5207803845405579,0.21647414565086365,0,0.0,0.29344294522400577,5,0,off,0,0,0.0,0.0,0.0,0.08066231992584649,0.04498111842205965,-0.006222461122088182,0.7487258170499698,-0.1278301786943342,1.0203410557625814,0.29344294522400577,0.35213153426880694
hrl,multi,0,weighted_cka,1,22,2.828866038433137,293.14999999999986,0.7113485336303711,0.7002257704734802,1,0.0,0.47147767307218946,5,0,off,0,0,0.0,0.0,0.0,0.06928046042285854,0.015911583075998204,0.0380314612761139,0.6819949717153793,0.17733969113230685,1.84630787081048,0.47147767307218946,0.5657732076866273
hrl,multi,0,weighted_cka,1,23,1.813752217971952,300.75,0.6207854747772217,0.28522157669067383,0,0.0,0.3022920363286586,5,0,off,0,0,0.0,0.0,0.0,0.15527784866094588,-0.013648025956237889,0.04903705954365423,0.49382362041063566,0.354962721474003,0.774298993838951,0.3022920363286586,0.36275044359439035
hrl,multi,0,weighted_cka,1,24,3.021181843411016,238.54999999999998,0.7066112756729126,0.7006585001945496,1,0.0,0.503530307235169,5,0,off,0,0,0.0,0.0,0.0,0.006345259624184037,0.4610276747015304,0.0857411750024184,0.8578367338739334,0.7284460875578224,0.8817849126511256,0.503530307235169,0.6042363686822029
hrl,multi,0,weighted_cka,1,25,2.9073614903248854,270.95,0.7104785442352295,0.7023628354072571,1,0.0,0.48456024838748074,5,0,off,0,0,0.0,0.0,0.0,-0.08452628734521585,0.4010653732819482,0.17921324778441328,0.8804474017582833,0.18664776606857772,1.3445139887768778,0.48456024838748074,0.5814722980649769
hrl,multi,0,weighted_cka,1,26,2.9617451958059102,261.49999999999994,0.704914927482605,0.7012414336204529,1,0.0,0.4936241993009849,5,0,off,0,0,0.0,0.0,0.0,0.17260166241880495,0.3979309692606329,0.0037656185403465575,0.6427770246249854,1.0729091179734094,0.67176080298773,0.4936241993009849,0.5923490391611819
