arch,ll_mode,experience_sharing,share_mode,use_tutee,episode,reward,steps,mastery_mean,mastery_min,completed,flat_agent_reward,avg_agent_reward,n_ll_agents,share_enabled_eff,share_mode_eff,share_attempts,share_peer_samples,share_mean_peer_weight,share_eligible_peers_mean,share_selected_peers_mean,ll_reward_0,ll_reward_1,ll_reward_2,ll_reward_3,ll_reward_4,tutee_reward_total,avg_reward_per_learning_agent,avg_reward_per_topic_slot
hrl,multi,0,weighted_cka,1,1,-0.011303857060921595,300.0,0.10484281927347183,0.06382421404123306,0,0.0,-0.0018839761768202439,5,0,off,0,0,0.0,0.0,0.0,-0.19438439699153318,-0.11163365691341462,0.11504394061118361,0.1283081453852355,0.05136211084760722,0.0,-0.0018839761768202439,-0.0022607714121842927
hrl,multi,0,weighted_cka,1,2,0.6318186224469788,300.3,0.240202859044075,0.07417026907205582,0,0.0,0.10530310374116315,5,0,off,0,0,0.0,0.0,0.0,0.9496217682909333,0.016194994702935183,-0.013688781451433905,-0.08077072739973665,-0.2709971917258812,0.03145856003016234,0.10530310374116315,0.12636372448939578
hrl,multi,0,weighted_cka,1,3,-0.06556350428145478,300.0,0.07764695584774017,0.0059255072847008705,0,0.0,-0.010927250713575786,5,0,off,0,0,0.0,0.0,0.0,-0.31048661854583853,-0.03829683877434584,0.21789739805459973,-0.09173631716426464,0.15705887214839453,0.0,-0.010927250713575786,-0.013112700856290942
hrl,multi,0,weighted_cka,1,4,0.17009073824697118,300.0,0.11443017423152924,0.06064847111701965,0,0.0,0.028348456374495234,5,0,off,0,0,0.0,0.0,0.0,0.010251920088948478,0.0896064523477107,0.03997721394430845,0.00018752371892329436,0.030067628147080475,0.0,0.028348456374495234,0.03401814764939428
hrl,multi,0,weighted_cka,1,5,0.6117142275677518,300.4,0.2535735070705414,0.04523158073425293,0,0.0,0.10195237126129197,5,0,off,0,0,0.0,0.0,0.0,0.5234580139461902,-0.29314808406308307,0.10957976525090629,-0.158063659656793,0.07078497399180167,0.35910321809872986,0.10195237126129197,0.12234284551355037
hrl,multi,0,weighted_cka,1,6,0.16146725830258113,300.0,0.16919687390327454,0.06249605864286423,0,0.0,0.026911209717096884,5,0,off,0,0,0.0,0.0,0.0,0.5669388977754859,-0.18366683435766037,-0.37079674990233646,-0.08020163762755711,0.22919358241464938,0.0,0.026911209717096884,0.03229345166051626
hrl,multi,0,weighted_cka,1,7,0.7962091143819152,300.5,0.3296906054019928,0.08340418338775635,0,0.0,0.13270151906365257,5,0,off,0,0,0.0,0.0,0.0,0.5914012027619573,-0.10389516371302315,-0.062248162270225435,-0.25009261919360165,0.25559309804160124,0.3654507587552071,0.13270151906365257,0.15924182287638308
hrl,multi,0,weighted_cka,1,8,0.40267938846901163,300.1,0.26831454038619995,0.0824773982167244,0,0.0,0.06711323141150195,5,0,off,0,0,0.0,0.0,0.0,0.27275435404795845,-0.04083801207318902,0.3131843062285333,-0.19565165242168617,0.050773192627355385,0.0024572000600397584,0.06711323141150195,0.08053587769380234
hrl,multi,0,weighted_cka,1,9,1.3466014382499596,300.80000000000007,0.48281678557395935,0.14627665281295776,0,0.0,0.22443357304165998,5,0,off,0,0,0.0,0.0,0.0,0.5787371621588244,-0.06828117784445223,0.38708471580455067,-0.1017510746847549,0.20921739962021801,0.3415944131955737,0.22443357304165998,0.26932028764999194
hrl,multi,0,weighted_cka,1,10,1.1826275691897585,300.9,0.419127881526947,0.07551128417253494,0,0.0,0.19710459486495976,5,0,off,0,0,0.0,0.0,0.0,0.27811193974426685,0.4005815767196471,-0.27688566674080384,0.0715107959946617,0.4098020036239176,0.29950691984806904,0.19710459486495976,0.2365255138379517
hrl,multi,0,weighted_cka,1,11,1.6716354213818327,300.4000000000001,0.5631275177001953,0.10895785689353943,0,0.0,0.2786059035636386,5,0,off,0,0,0.0,0.0,0.0,0.06121305965291679,-0.06391791221505276,-0.047521373507654216,0.44305405081645555,0.2784040948958135,1.000403501739353,0.2786059035636386,0.33432708427636637
hrl,multi,0,weighted_cka,1,12,1.6895343630582569,300.75000000000006,0.5419882535934448,0.13558527827262878,0,0.0,0.2815890605097094,5,0,off,0,0,0.0,0.0,0.0,0.33519223527910036,0.4303036461784503,0.24116573733277596,0.18713275714509647,0.19419496547990267,0.3015450216429308,0.2815890605097094,0.3379068726116513
hrl,multi,0,weighted_cka,1,13,1.7952013759281242,300.5,0.5386601686477661,0.20831622183322906,0,0.0,0.2992002293213541,5,0,off,0,0,0.0,0.0,0.0,0.39786528973968194,0.3905769097469746,-0.08573461055289967,0.04897780373971905,0.6805714764548464,0.36294450679980217,0.2992002293213541,0.3590402751856249
hrl,multi,0,weighted_cka,1,14,2.2317115919663704,300.35,0.6184296607971191,0.26405397057533264,0,0.0,0.37195193199439514,5,0,off,0,0,0.0,0.0,0.0,0.41416586249868814,0.33068058862317407,0.4169844616404733,0.2917366020488551,0.4130952918585389,0.36504878529664125,0.37195193199439514,0.44634231839327415
hrl,multi,0,weighted_cka,1,15,2.326264118265762,300.09999999999997,0.6678589582443237,0.4990261495113373,0,0.0,0.38771068637762696,5,0,off,0,0,0.0,0.0,0.0,0.4730111661840053,0.26071987298782906,-0.06461831936799003,0.2894973483171779,0.34439886003080744,1.023255190113932,0.38771068637762696,0.46525282365315235
hrl,multi,0,weighted_cka,1,16,1.7863412515931647,300.79999999999995,0.5891559720039368,0.23770920932292938,0,0.0,0.2977235419321939,5,0,off,0,0,0.0,0.0,0.0,0.4709192405619067,0.0816530926395207,0.006392037632176471,-0.07045284753385937,0.36103215378150333,0.9367975745119155,0.2977235419321939,0.3572682503186327
hrl,multi,0,weighted_cka,1,17,0.920621066098982,300.3,0.44029492139816284,0.253285676240921,0,0.0,0.15343684434983026,5,0,off,0,0,0.0,0.0,0.0,0.19944793522479776,0.0742759046610444,-0.13605442679167049,0.008126340636983396,0.45730813917517654,0.31751717319265005,0.15343684434983026,0.18412421321979633
hrl,multi,0,weighted_cka,1,18,1.4081034586529237,300.54999999999995,0.557590126991272,0.21533674001693726,0,0.0,0.23468390977548734,5,0,off,0,0,0.0,0.0,0.0,0.46434138008416603,-0.022006588796153734,-0.13911557978461514,0.07791488428413865,0.2339306665416805,0.7930386963237077,0.23468390977548734,0.2816206917305848
hrl,multi,0,weighted_cka,1,19,0.9345238967639795,300.15,0.45153626799583435,0.24087367951869965,0,0.0,0.15575398279399655,5,0,off,0,0,0.0,0.0,0.0,0.27109518639277663,0.05705749106965953,0.5370710952816006,-0.30495481625758136,0.3500287219025191,0.024226218375004816,0.15575398279399655,0.18690477935279587
hrl,multi,0,weighted_cka,1,20,1.4479541958412376,300.1,0.48479971289634705,0.32752442359924316,0,0.0,0.24132569930687298,5,0,off,0,0,0.0,0.0,0.0,0.5434538809173972,0.5091888521779327,0.5318652547402306,-0.026762920057866808,-0.07882285991869901,-0.030968012017756702,0.24132569930687298,0.28959083916824757
hrl,multi,0,weighted_cka,1,21,0.6394818022871847,300.35,0.3798149824142456,0.2211400419473648,0,0.0,0.10658030038119742,5,0,off,0,0,0.0,0.0,0.0,0.40805830673966526,0.13135641043260682,0.009631988243432636,0.003982462707906843,0.11656027564033833,-0.030107641476765278,0.10658030038119742,0.1278963604574369
hrl,multi,0,weighted_cka,1,22,1.2284706801054404,300.25000000000017,0.39107879996299744,0.1583881825208664,0,0.0,0.20474511335090684,5,0,off,0,0,0.0,0.0,0.0,-0.15922040401032456,0.7428532057984265,-0.11287343057920246,0.029861603643745144,0.08378719383478161,0.6440625114180147,0.20474511335090684,0.2456941360210882
hrl,multi,0,weighted_cka,1,23,0.3453933189504718,300.1,0.27249667048454285,0.10201023519039154,0,0.0,0.057565553158412,5,0,off,0,0,0.0,0.0,0.0,-0.0016164408206064754,0.08971951727382832,0.03306784922629591,-0.026035661844536668,0.2695764988623557,-0.019318443746864797,0.057565553158412,0.06907866379009439
hrl,multi,0,weighted_cka,1,24,1.7382010617566288,300.45000000000005,0.4960893988609314,0.17855951189994812,0,0.0,0.2897001769594381,5,0,off,0,0,0.0,0.0,0.0,0.34016061980056067,-0.07132272254768773,0.1961099420175887,0.16892267394810911,0.37004541895107823,0.7342851295869797,0.2897001769594381,0.3476402123513257
hrl,multi,0,weighted_cka,1,25,0.1635442955799391,300.2,0.18506009876728058,0.06466679275035858,0,0.0,0.027257382596656523,5,0,off,0,0,0.0,0.0,0.0,0.34202233523409786,-0.4172794267348951,-0.057143344561569415,0.05218440801650283,0.28034886359423394,-0.036588539968431005,0.027257382596656523,0.03270885911598782
hrl,multi,0,weighted_cka,1,26,0.8003809540416102,300.0,0.3366678059101105,0.10347284376621246,0,0.0,0.13339682567360175,5,0,off,0,0,0.0,0.0,0.0,0.3655340334158388,-0.1113273611348124,0.15117465104907746,-0.1802096134023742,0.6266810293761079,-0.05147178526222706,0.13339682567360175,0.16007619080832208
hrl,multi,0,weighted_cka,1,27,1.314287345798872,300.79999999999995,0.5197118520736694,0.16956330835819244,0,0.0,0.2190478909664786,5,0,off,0,0,0.0,0.0,0.0,0.27664895741222395,0.005492720792069951,0.03978008951060463,-0.09020809176610806,0.4697112483903765,0.6128624214597046,0.2190478909664786,0.2628574691597743
hrl,multi,0,weighted_cka,1,28,1.8443036780716118,300.65000000000003,0.5795481204986572,0.2566134035587311,0,0.0,0.30738394634526855,5,0,off,0,0,0.0,0.0,0.0,0.4227024656457359,0.093289671877399,0.5348562756081662,0.07600621261802723,0.19926520872116082,0.5181838436011225,0.30738394634526855,0.36886073561432225
hrl,multi,0,weighted_cka,1,29,2.261812739551982,300.54999999999995,0.6380277872085571,0.3557267189025879,0,0.0,0.37696878992533006,5,0,off,0,0,0.0,0.0,0.0,0.6313188339389741,0.4400517618814483,0.2712890626080333,0.3475660877222253,0.11421981357963507,0.45736717982166447,0.37696878992533006,0.4523625479103961
hrl,multi,0,weighted_cka,1,30,2.2704370533739917,300.65,0.6408110857009888,0.37393540143966675,0,0.0,0.3784061755623318,5,0,off,0,0,0.0,0.0,0.0,0.36929831456486095,0.08603615657612675,0.38282536792568855,0.07334100629703588,0.06052072496432803,1.2984154830459504,0.3784061755623318,0.4540874106747982
hrl,multi,0,weighted_cka,1,31,2.900210700811679,271.9,0.7098594903945923,0.7014997601509094,1,0.0,0.48336845013527974,5,0,off,0,0,0.0,0.0,0.0,0.6825703265408518,0.11708566226979,0.05650670681090554,0.40675099870841946,0.2762878381013869,1.3610091683803245,0.48336845013527974,0.5800421401623357
hrl,multi,0,weighted_cka,1,32,1.1265492914447095,300.75,0.4528788924217224,0.05006745830178261,0,0.0,0.18775821524078476,5,0,off,0,0,0.0,0.0,0.0,0.5255910817797993,-0.6043092212800406,0.2134987024888395,0.11900742304883893,0.20721249854750923,0.6655488068597623,0.18775821524078476,0.22530985828894173
hrl,multi,0,weighted_cka,1,33,2.8326473952799756,298.24999999999994,0.7116264700889587,0.7019486427307129,1,0.0,0.47210789921332913,5,0,off,0,0,0.0,0.0,0.0,0.4039447081639662,0.2358925486844963,0.1346046498278155,0.3606421157954209,0.7165025177428032,0.9810608550654722,0.47210789921332913,0.5665294790559949
hrl,multi,0,weighted_cka,1,34,2.9595616387450145,272.25000000000006,0.7130939960479736,0.7017562389373779,1,0.0,0.4932602731241688,5,0,off,0,0,0.0,0.0,0.0,0.5037340342793613,-0.01712800797447571,0.09594033648818723,0.19541251712199292,0.793245481263846,1.3883572775661013,0.4932602731241688,0.5919123277490026
hrl,multi,0,weighted_cka,1,35,1.7967136268649138,300.8499999999999,0.5725728273391724,0.2687101662158966,0,0.0,0.2994522711441521,5,0,off,0,0,0.0,0.0,0.0,0.5456214262919965,-0.06521663798578096,0.3986552167320623,-0.08605174026114422,0.022612794425629395,0.9810925676621501,0.2994522711441521,0.35934272537298256
hrl,multi,0,weighted_cka,1,36,0.7925429547066153,300.75000000000006,0.4097138047218323,0.09621616452932358,0,0.0,0.13209049245110252,5,0,off,0,0,0.0,0.0,0.0,0.08312717765860711,-0.3281263972921299,0.29423456286266436,0.35731848560544277,0.05751812554895876,0.328471000323072,0.13209049245110252,0.15850859094132302
hrl,multi,0,weighted_cka,1,37,2.3254859065598246,300.6000000000001,0.6531730890274048,0.4035889506340027,0,0.0,0.3875809844266369,5,0,off,0,0,0.0,0.0,0.0,-0.009733004998008391,0.6134321860689669,0.3189261638093739,0.1750216008508576,0.04234652520343657,1.1854924356251952,0.3875809844266369,0.4650971813119643
hrl,multi,0,weighted_cka,1,38,2.8752131434309867,277.8500000000002,0.7144716382026672,0.7062185406684875,1,0.0,0.47920219057183094,5,0,off,0,0,0.0,0.0,0.0,0.5160697107714367,0.3818807508696335,0.39466799884731874,0.2077797572873532,0.02533510956828079,1.349479816086963,0.47920219057183094,0.5750426286861972
hrl,multi,0,weighted_cka,1,39,1.1499518331192293,300.05000000000007,0.46910467743873596,0.08249399811029434,0,0.0,0.19165863885320486,5,0,off,0,0,0.0,0.0,0.0,0.1434676218663804,-0.021222313001751907,0.14900578072667114,0.22729237454711512,0.30266488759219623,0.34874348138861816,0.19165863885320486,0.2299903666238458
hrl,multi,0,weighted_cka,1,40,1.2825643187478146,300.7,0.420335054397583,0.13914209604263306,0,0.0,0.21376071979130248,5,0,off,0,0,0.0,0.0,0.0,0.3041341926725578,-0.15877813984238326,0.19033553081378332,0.23229955450583636,0.3656287350468337,0.3489444455511868,0.21376071979130248,0.25651286374956295
hrl,multi,0,weighted_cka,1,41,2.3246625212910867,300.25,0.6560783386230469,0.45757001638412476,0,0.0,0.38744375354851446,5,0,off,0,0,0.0,0.0,0.0,0.4243556654519631,0.37912487884520657,0.0958453038735314,0.3343531685925553,0.3411274157498263,0.749856088778004,0.38744375354851446,0.46493250425821736
hrl,multi,0,weighted_cka,1,42,1.9523702567406347,300.20000000000005,0.664300799369812,0.5515109896659851,0,0.0,0.32539504279010556,5,0,off,0,0,0.0,0.0,0.0,0.4536478425124657,0.15139859690936275,0.31077674772217856,0.3985792142154991,0.024743028875440255,0.6132248265056871,0.32539504279010556,0.3904740513481267
hrl,multi,0,weighted_cka,1,43,2.991726245944964,252.60000000000002,0.7067994475364685,0.7002556920051575,1,0.0,0.4986210409908273,5,0,off,0,0,0.0,0.0,0.0,0.7000263405549338,-0.03170898094939191,0.40859334661671876,0.5191003478737547,0.6931568181216715,0.7025583737272768,0.4986210409908273,0.5983452491889928
